age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,term_deposit_subscribed,client_id
61,retired,married,secondary,no,3114,no,no,cellular,13,nov,381,1,-1,0,unknown,yes,2168bdf1-e67a-4da6-ac20-8d8dfff2140f
57,management,married,secondary,no,2155,no,yes,cellular,11,aug,82,2,-1,0,unknown,no,c4dfb13b-cb2e-42ad-9ea2-d5664360bb48
56,retired,divorced,tertiary,no,2370,no,no,cellular,23,jul,376,1,-1,0,unknown,no,c9a620a6-c5fc-4bc1-a232-ba63c988d71f
40,blue-collar,married,secondary,no,1451,no,no,cellular,1,jun,314,1,-1,0,unknown,yes,81cc43df-d766-4a2e-8192-a5218c4457c4
43,technician,single,secondary,no,451,no,no,cellular,12,aug,289,2,-1,0,unknown,yes,77370325-e0f5-4487-829d-7d9c2ad5284f
27,technician,single,secondary,no,1742,yes,no,unknown,16,may,787,1,-1,0,unknown,yes,ad136954-7893-41db-b181-020222ebdf9e
35,blue-collar,married,secondary,no,860,yes,no,unknown,5,jun,884,4,-1,0,unknown,yes,27be1cf5-f3b5-4c58-befb-58ce74cb9c89
54,management,married,tertiary,no,1014,no,yes,cellular,30,apr,240,1,162,2,failure,yes,b239ba8b-a405-4507-bb90-0698137bd21d
46,management,married,tertiary,no,2817,no,no,cellular,17,sep,543,1,-1,0,unknown,yes,42b1d2d9-b630-4996-8fc4-e87c212e5ad6
27,admin.,single,secondary,no,671,yes,no,cellular,29,jan,243,1,-1,0,unknown,no,79dd8a80-7c33-4d9c-8d06-898527a91c3a
31,blue-collar,single,secondary,no,239,yes,no,cellular,18,may,666,1,360,1,success,yes,5e6541f5-ae5c-4ba2-953d-bb4dc868f254
41,technician,married,secondary,no,0,no,no,unknown,20,jun,267,2,-1,0,unknown,no,8df3bae0-be4c-478b-b941-a4bc34998dc4
33,admin.,single,secondary,no,322,yes,no,unknown,28,may,266,4,-1,0,unknown,no,dcaf02a7-acd4-495e-835a-740e47e2d59d
57,technician,divorced,secondary,no,77,yes,yes,cellular,29,jan,168,3,246,2,failure,no,a0649539-4178-40d4-b0cf-a4d738cb6ed7
52,blue-collar,married,secondary,no,409,no,no,cellular,8,aug,137,2,-1,0,unknown,no,065529e5-88b1-40da-9a44-738806806e84
28,blue-collar,single,secondary,no,416,yes,no,unknown,13,may,452,2,-1,0,unknown,no,1d044d3b-c7b4-4581-b302-a2dcc8cdef45
35,blue-collar,divorced,secondary,no,336,yes,no,cellular,14,may,191,1,346,2,failure,yes,bb863f70-d952-49c3-be8c-7fcf90057796
74,retired,married,primary,no,1413,no,no,cellular,25,feb,385,2,-1,0,unknown,yes,9b3b39b1-3700-4caa-bc98-3c9b5be6da9a
27,technician,single,tertiary,no,393,no,no,cellular,1,apr,165,2,-1,0,unknown,yes,634eebcc-a60c-4af9-88b1-d94c26ff8d21
31,entrepreneur,divorced,secondary,no,82,no,no,telephone,21,nov,114,5,-1,0,unknown,no,68d114df-8a2c-4655-9075-3bb35e1c7f08
35,technician,married,secondary,no,1577,yes,yes,cellular,17,aug,80,1,273,1,failure,no,91c396d6-40db-4b4a-a0cc-f813be23893d
37,management,married,tertiary,no,1113,no,no,cellular,1,sep,265,2,183,2,success,yes,ed3d3a33-d163-4544-81ca-49566ecdd8f8
40,admin.,married,secondary,no,1597,yes,no,unknown,30,may,633,1,-1,0,unknown,no,7a88ff97-4a2b-4777-a528-34a0a7c44d25
26,technician,single,secondary,no,-168,no,yes,cellular,3,feb,246,1,-1,0,unknown,no,54e3ab7b-f549-4de4-b869-e91e26ae6e0e
49,management,married,tertiary,no,1808,yes,no,cellular,1,jun,205,1,95,1,success,yes,d47510a1-0061-4b42-bd71-b5bc90ddad1b
27,management,single,tertiary,no,20585,no,no,cellular,23,sep,299,1,100,1,success,yes,31e29c8e-03a0-4792-a5fc-8460c3f901cb
36,management,single,tertiary,no,624,yes,no,unknown,6,jun,141,3,-1,0,unknown,no,ebd0afa1-5249-4848-8d30-860963ce5eb5
60,retired,divorced,tertiary,no,979,yes,no,cellular,15,jul,346,1,181,4,success,yes,755fcb15-a590-4340-81b0-8c4407231624
35,services,married,secondary,no,2918,no,yes,cellular,16,jul,815,2,407,3,success,yes,be007e82-099a-4985-ac60-49cea0ab8cf5
35,unemployed,single,secondary,no,221,no,no,cellular,29,jan,374,1,-1,0,unknown,no,c0cb0e30-372c-480f-a41d-2a99007cb363
72,retired,married,secondary,no,951,no,yes,cellular,12,mar,229,3,339,1,failure,yes,ee64b822-0077-4b8a-ba11-07a621c6d5ae
33,blue-collar,married,secondary,no,0,yes,yes,cellular,6,may,155,5,-1,0,unknown,no,207af6ef-b5d3-4492-bb0e-46689a661b12
57,technician,married,secondary,no,1741,no,no,cellular,23,jul,364,2,-1,0,unknown,no,bbf68819-74c4-4957-905a-912ff88e7ce8
36,management,married,tertiary,no,625,yes,no,cellular,18,jul,1360,9,-1,0,unknown,yes,fcea8d33-e81b-49f4-9c6b-7ffdb39be2de
32,technician,single,tertiary,no,1813,no,no,cellular,5,feb,102,1,-1,0,unknown,no,e72b29a4-b999-43d1-88a7-a5cc5ede8f8c
55,technician,divorced,tertiary,no,2848,yes,yes,cellular,11,jul,121,2,-1,0,unknown,no,392a8a80-97f3-4a24-bd97-86353a905525
44,blue-collar,single,primary,no,1593,yes,no,cellular,19,nov,201,2,174,3,success,no,7b2ad155-850d-4311-81b7-7af23450e2ad
35,management,single,tertiary,no,431,no,no,cellular,17,aug,343,2,397,1,failure,yes,3d4e6b83-bdda-4551-b87a-35ece80991c6
37,entrepreneur,married,primary,no,-204,yes,no,cellular,24,jul,467,1,-1,0,unknown,no,13698d85-b82d-4d52-94d7-3dee1bd73b9f
25,admin.,married,unknown,no,349,yes,no,cellular,22,jul,1037,8,-1,0,unknown,yes,f735b4a7-e752-487e-a0e0-27e7daf666b5
48,management,married,tertiary,no,1949,yes,no,unknown,13,may,683,2,-1,0,unknown,yes,a810604d-6094-43e7-a30c-a0af77ad7e08
30,technician,married,primary,no,95,yes,no,cellular,15,may,220,2,298,1,failure,no,7bdafd9d-cfda-480a-b021-bcf570ca3fc3
54,management,married,tertiary,no,313,yes,no,unknown,5,may,83,2,-1,0,unknown,no,4c632458-c381-43c9-b372-4eb38bbb7bbb
27,services,single,secondary,no,-266,no,yes,cellular,10,jul,162,6,-1,0,unknown,no,d45990d6-3573-4e4c-ae15-73ddacf1b8a6
37,management,divorced,tertiary,no,488,yes,no,cellular,17,sep,328,1,854,2,failure,yes,3f02cc6e-c73f-4baa-8df1-424d556b8bf5
50,management,married,unknown,no,8345,no,no,cellular,27,feb,194,1,261,1,failure,yes,a08448af-25bd-4415-8ae2-47f6562780fc
44,blue-collar,married,secondary,no,647,yes,no,cellular,6,apr,276,2,-1,0,unknown,no,56f2bb89-5db6-4563-a945-26d9a0c5766a
57,technician,divorced,tertiary,no,126,no,no,telephone,4,jun,166,2,-1,0,unknown,yes,e110e103-93de-4e03-8f2d-95a1c49c14bd
35,management,single,tertiary,no,331,no,no,cellular,14,aug,857,2,-1,0,unknown,yes,628d740d-2d10-4c84-a927-5e8e3d91d03e
41,technician,married,secondary,no,-804,yes,yes,unknown,27,may,269,11,-1,0,unknown,no,449b1af0-e8da-4ca3-b382-679e5e30d3c8
32,self-employed,married,secondary,no,514,yes,no,cellular,11,jul,812,1,-1,0,unknown,yes,dc797d89-6cf3-44b2-880b-10bfb22792a7
51,blue-collar,married,secondary,no,1329,yes,yes,telephone,17,apr,150,2,287,2,failure,no,ba4d3ee8-6434-4644-80f6-cc7f907f8858
37,technician,married,tertiary,no,3043,yes,no,cellular,5,may,249,1,300,1,failure,no,9ffd8b92-6828-45ab-819c-f5acfff7f7e8
49,blue-collar,married,secondary,no,1127,yes,yes,cellular,10,jul,579,1,-1,0,unknown,no,391dbbbe-845b-4d35-b7ca-357ddf4772ff
37,services,single,tertiary,no,1189,no,no,cellular,13,sep,323,9,199,4,other,yes,06862206-961c-4d3b-87e3-58a32ee98c06
46,blue-collar,married,secondary,no,-396,no,yes,cellular,4,aug,115,1,-1,0,unknown,no,c921c6bb-52a4-45f3-b439-5a18f9851f69
30,self-employed,married,tertiary,no,2666,no,no,cellular,4,feb,467,1,-1,0,unknown,yes,3cf3eb47-75a8-47f4-8962-2fa3fe348f83
55,entrepreneur,divorced,secondary,no,538,yes,no,cellular,7,aug,353,2,-1,0,unknown,yes,1dc784ba-f34b-48ed-8c78-aceda9637e28
30,unemployed,married,tertiary,no,330,no,no,cellular,3,jul,264,1,80,1,success,yes,a40010a3-2fe6-481d-90c0-6abae134bf64
37,self-employed,divorced,tertiary,no,160,yes,yes,unknown,6,jun,545,2,-1,0,unknown,no,bffa4b78-4be9-4445-b9e4-3c5f36c26ba2
33,blue-collar,married,primary,no,245,yes,yes,cellular,8,may,253,3,-1,0,unknown,no,63feee2d-19dc-4b33-9b98-aac6f755401e
41,management,married,tertiary,no,0,yes,no,cellular,18,nov,897,3,-1,0,unknown,yes,f0fff2ad-82c2-4957-b8c7-64173d2bf444
28,admin.,single,secondary,no,4745,no,no,telephone,12,may,360,1,181,5,success,yes,13f19cb7-8850-4fee-ba21-29022a80b77c
26,blue-collar,single,secondary,no,535,no,no,cellular,14,aug,125,1,-1,0,unknown,yes,b49edfb0-304d-4df0-bbe9-c118196a9834
31,services,single,secondary,no,516,yes,no,unknown,13,may,271,2,-1,0,unknown,no,7f5405b0-e134-41d5-be2b-502229d1c42c
29,blue-collar,married,secondary,no,162,yes,no,cellular,15,jul,126,3,-1,0,unknown,no,6e9f9a14-074f-4c03-8386-9fc2bdb9cf3a
25,student,single,tertiary,no,1189,no,no,cellular,3,jun,165,1,-1,0,unknown,yes,0579e8c0-bff5-4817-8290-bf171298c803
27,student,single,secondary,no,538,no,no,cellular,18,dec,170,4,197,2,success,yes,9dc86114-f15a-4208-a01e-0b1fad574064
40,management,married,tertiary,no,198,yes,no,cellular,18,may,214,5,364,8,failure,no,dbbcf0bf-fb07-4bde-a27a-62f3f3b04984
31,management,single,secondary,no,202,yes,no,cellular,8,jul,167,1,62,1,failure,yes,2e7d1be6-ca0b-4a66-b7f7-0bfb31c12b9a
51,technician,divorced,secondary,no,0,no,no,cellular,11,aug,177,2,-1,0,unknown,no,d9b83795-433c-48b1-86c0-fca5db0a5751
41,blue-collar,married,secondary,no,2039,yes,no,cellular,8,may,729,1,-1,0,unknown,yes,2ed274be-ef95-431a-b847-0ed701eba835
35,blue-collar,married,secondary,no,1290,yes,no,cellular,24,jul,211,1,-1,0,unknown,no,30cdd7b6-2ceb-4bcb-9840-f27de4e3a1cf
39,blue-collar,married,secondary,no,1382,yes,no,cellular,12,aug,357,1,182,2,success,yes,17b030f3-a435-426e-ae78-6d716329910a
49,management,divorced,tertiary,no,4961,yes,no,cellular,3,feb,298,2,231,1,failure,no,bdc1b556-0f23-40a5-8187-5e83229f9683
40,blue-collar,married,primary,no,278,yes,no,unknown,23,may,1015,3,-1,0,unknown,yes,e72de57a-77b4-471b-b828-61b8061fbfe7
32,management,single,tertiary,no,2536,yes,no,cellular,26,aug,958,6,-1,0,unknown,yes,791705f2-52cc-4f99-8bf1-f5aaa1e0c575
29,services,single,secondary,no,-271,yes,no,unknown,4,jun,578,1,-1,0,unknown,yes,fe490b55-5b0b-4c84-9f0c-97c8326088cf
32,admin.,married,secondary,no,752,yes,no,cellular,6,may,519,2,166,5,failure,yes,f211bd01-3ede-4509-9bcc-00a8d1c48445
32,self-employed,divorced,tertiary,no,3271,no,no,cellular,4,may,949,3,-1,0,unknown,yes,52480b22-86eb-4bfc-b273-dd12572734d3
50,blue-collar,married,primary,no,156,yes,no,unknown,7,may,117,3,-1,0,unknown,no,7af8440b-2250-4644-9353-fa89c6dd3dcb
45,student,single,unknown,no,1527,no,no,cellular,8,mar,132,1,-1,0,unknown,yes,87558a61-1fc8-4dcd-8880-a031c6df5665
66,self-employed,married,tertiary,no,147,no,no,telephone,12,jan,411,1,-1,0,unknown,yes,abe38302-9131-4918-b3a2-3e4f11e092c2
25,technician,single,secondary,no,102,no,yes,cellular,8,jul,574,2,-1,0,unknown,yes,e4b95e79-c989-4cc1-85c5-45071475b38f
41,self-employed,single,tertiary,no,1081,no,no,cellular,27,may,229,3,-1,0,unknown,yes,dec4f38c-b813-4341-abd6-778adff1ed4c
30,services,single,secondary,no,20,yes,no,cellular,20,apr,404,6,340,1,failure,no,9f29ee4f-7872-4be3-8a35-ac64e7dbbdc8
60,blue-collar,married,primary,no,631,no,no,cellular,12,aug,429,2,-1,0,unknown,yes,613d8134-3598-4dc8-bdd2-32bf325dd8d9
41,management,married,secondary,no,6,no,no,cellular,5,may,123,1,-1,0,unknown,no,c636e06c-6a8e-4c1e-8fa6-784a687bb661
31,management,single,tertiary,no,518,yes,no,cellular,18,may,399,1,-1,0,unknown,no,48b7d681-aa25-4adb-82ea-52c8a9c2e0c3
48,unknown,single,unknown,no,1819,no,no,cellular,2,sep,1440,1,458,1,failure,yes,c7f82300-4461-46a2-b605-7906f67f3e4c
47,technician,married,secondary,no,293,no,no,cellular,3,mar,499,1,-1,0,unknown,yes,1ede9112-0efe-4581-9233-8b6cc1290c40
47,technician,married,tertiary,no,2408,no,no,cellular,30,apr,376,1,-1,0,unknown,yes,9af5f96a-e178-4873-a568-abe43bd39f65
23,technician,single,tertiary,no,1129,yes,no,unknown,28,may,806,1,-1,0,unknown,yes,19fad494-2faa-4b84-959a-63cc25b8b684
34,blue-collar,married,secondary,no,352,yes,no,unknown,12,jun,52,3,-1,0,unknown,no,58244c15-5346-456f-95f4-ac60b8a3e949
30,technician,single,tertiary,no,2325,no,no,cellular,10,aug,263,1,127,7,failure,yes,8db1d7d6-0c1b-4f4e-a103-8e9d82f7c309
47,technician,divorced,secondary,no,-767,no,yes,cellular,18,jul,329,3,-1,0,unknown,no,88fe030b-a45e-44f6-86c9-372f8e090eb1
26,management,single,tertiary,no,2786,no,no,cellular,3,jun,300,2,72,1,success,yes,094963ff-7f6e-4b86-953b-4fed20c793c2
42,management,married,secondary,no,3018,yes,no,cellular,8,may,288,3,172,2,failure,no,029e0d7c-0e52-4df0-86a9-99e07e0dda9f
51,admin.,married,secondary,no,771,no,yes,cellular,12,aug,143,3,-1,0,unknown,no,46893f91-9446-4445-9a6d-a4795bf7e0ce
45,admin.,married,secondary,no,205,no,no,cellular,4,may,552,1,90,2,success,yes,d682d5d7-bd5c-4bd0-807f-07a266a58653
28,management,single,secondary,no,1154,no,no,cellular,29,jul,71,3,-1,0,unknown,no,875194a3-e2b5-453b-87a3-2dc2fd067a28
50,entrepreneur,married,tertiary,no,8649,yes,no,cellular,20,nov,141,1,-1,0,unknown,no,c0494aa0-1311-449d-b6a3-a232af5d19db
38,technician,married,tertiary,no,606,no,no,unknown,16,jun,193,2,-1,0,unknown,no,1662f827-1d13-4234-94aa-12a6963faabf
61,retired,married,secondary,no,1058,no,no,cellular,27,apr,159,3,-1,0,unknown,yes,3a4c28a2-91ca-4826-a3b1-599b487fb20c
33,management,single,tertiary,no,7419,yes,no,cellular,15,may,21,8,331,29,failure,no,93988d1d-bdbe-4315-a3f5-8262eed50415
76,retired,married,primary,no,3324,no,no,cellular,13,nov,122,1,92,3,success,yes,71e58962-b05a-4685-bace-29120a90a08d
26,admin.,single,tertiary,no,760,yes,no,cellular,4,mar,456,2,281,5,success,yes,a3575be1-13f8-40c3-ad10-565755e5bba6
56,services,divorced,secondary,no,450,no,no,unknown,9,jun,47,1,-1,0,unknown,no,5f2f3e8c-10fc-4135-a7a4-de1e2f275e9b
54,technician,single,secondary,no,770,no,no,unknown,17,jun,89,2,-1,0,unknown,no,122e23ad-611e-4098-b9ad-1d02719e0d16
51,management,married,tertiary,no,4917,no,no,cellular,23,apr,113,1,-1,0,unknown,yes,b7ab02b5-3e10-4b9c-b93c-ae520816fca9
25,technician,single,secondary,no,139,no,yes,cellular,11,jan,202,1,91,1,success,yes,41859d57-81be-4f67-8372-23c55ddc98ba
33,management,single,tertiary,no,952,yes,no,cellular,29,apr,1241,5,-1,0,unknown,yes,3f3cf57f-a981-4553-abf5-c1c1ee198fe1
34,admin.,married,tertiary,no,899,yes,no,unknown,12,nov,114,1,170,3,failure,yes,b147d07c-0fe0-4ca4-8f0f-59cc8c58f5f5
27,management,single,tertiary,no,99,yes,no,unknown,4,jun,767,2,-1,0,unknown,yes,c3fff6b5-7c2c-48f0-a6a4-62facb0a4717
43,admin.,single,secondary,no,386,no,no,cellular,12,jul,220,3,529,1,failure,yes,53d23d05-07f8-43d9-989e-1cced3ca0a66
